system_name,star_type,star_luminosity,star_age_gy,name,planet_type,distance_au,radius_km,mass_earth,gravity_g,avg_temp_celsius,atmosphere_o2,atmosphere_co2,atmosphere_n2,has_water,magnetic_field,moons,in_habitable_zone,albedo,habitable_candidate,has_water_int,magnetic_field_int,in_hz_int,habitable_candidate_int,label
Aeloria Prime,Naine jaune,1.0,4.2,Pyrox,Lave,0.3,4200,0.6,0.7,221.2,0,90,9,False,False,0,False,0.1,False,0,0,0,0,non_habitable
Aeloria Prime,Naine jaune,1.0,4.2,Aeloria-I,Tellurique,0.95,6200,0.9,0.93,-12.3,20,1,78,True,True,1,True,0.3,True,1,1,1,1,habitable
Aeloria Prime,Naine jaune,1.0,4.2,Aeloria-II,Ocean,1.2,7000,1.1,1.05,-33.1,18,2,79,True,True,2,True,0.2,True,1,1,1,1,habitable
Aeloria Prime,Naine jaune,1.0,4.2,Garvex,Gazeuse,4.0,55000,250.0,2.4,-157.5,0,0,0,False,True,14,False,0.52,False,0,1,0,0,non_habitable
Aeloria Prime,Naine jaune,1.0,4.2,Cryon-I,Naine glacee,12.0,2800,0.08,0.07,-213.8,0,0,98,False,False,1,False,0.7,False,0,0,0,0,non_habitable
Vexar System,Naine rouge,0.01,8.5,Vexar-I,Lave,0.05,3800,0.5,0.6,109.8,0,95,4,False,False,0,False,0.1,False,0,0,0,0,non_habitable
Vexar System,Naine rouge,0.01,8.5,Vexar-II,Tellurique,0.15,5800,0.85,0.88,-65.5,15,3,80,True,True,0,True,0.3,True,1,1,1,1,habitable
Vexar System,Naine rouge,0.01,8.5,Vexar-III,Super-Terre,0.25,9000,2.5,1.8,-115.3,10,8,80,True,True,1,False,0.35,True,1,1,0,1,inconnue
Vexar System,Naine rouge,0.01,8.5,Vexar-IV,Naine glacee,1.5,2000,0.05,0.05,-220.0,0,1,90,False,False,0,False,0.7,False,0,0,0,0,non_habitable
Drakon Nebula,Geante bleue,50000.0,0.05,Drakon-I,Lave,5.0,6000,1.0,1.0,1537.6,0,70,20,False,False,0,False,0.1,False,0,0,0,0,non_habitable
Drakon Nebula,Geante bleue,50000.0,0.05,Drakon-II,Gazeuse,50.0,70000,400.0,3.0,216.2,0,0,0,False,True,32,False,0.52,False,0,1,0,0,non_habitable
Drakon Nebula,Geante bleue,50000.0,0.05,Drakon-III,Naine glacee,200.0,3000,0.1,0.1,-55.6,0,0,95,False,False,2,True,0.7,False,0,0,1,0,non_habitable
Luminos Cluster,Naine orange,0.3,6.1,Luminos-I,Tellurique,0.2,4500,0.4,0.5,147.7,2,60,35,False,False,0,False,0.3,True,0,0,0,1,non_habitable
Luminos Cluster,Naine orange,0.3,6.1,Luminos-II,Ocean,0.45,6800,1.0,0.98,16.9,22,1,76,True,True,1,True,0.2,True,1,1,1,1,habitable
Luminos Cluster,Naine orange,0.3,6.1,Luminos-III,Super-Terre,0.65,10000,3.0,2.0,-44.0,14,5,79,True,True,2,True,0.35,True,1,1,1,1,inconnue
Luminos Cluster,Naine orange,0.3,6.1,Glacior,Geante gazeuse,3.0,60000,300.0,2.5,-174.3,0,0,0,False,True,20,False,0.52,False,0,1,0,0,non_habitable
Stygion Void,Naine blanche,0.001,12.0,Stygion-I,Naine glacee,0.02,3500,0.2,0.25,-14.4,0,5,90,False,False,0,False,0.7,False,0,0,0,0,non_habitable
Stygion Void,Naine blanche,0.001,12.0,Stygion-II,Naine glacee,0.08,4000,0.3,0.35,-143.8,0,2,95,False,False,1,False,0.7,False,0,0,0,0,non_habitable
Verdantis Alpha,Sous-geante,3.0,3.8,Verdantis-I,Lave,0.4,5000,0.7,0.8,290.3,0,85,14,False,False,0,False,0.1,False,0,0,0,0,non_habitable
Verdantis Alpha,Sous-geante,3.0,3.8,Verdantis-II,Tellurique,1.1,6500,0.95,0.97,45.9,21,1,77,True,True,2,False,0.3,True,1,1,0,1,inconnue
Verdantis Alpha,Sous-geante,3.0,3.8,Verdantis-III,Ocean,1.6,7200,1.2,1.1,0.4,19,2,78,True,True,1,True,0.2,True,1,1,1,1,habitable
Verdantis Alpha,Sous-geante,3.0,3.8,Verdantis-IV,Gazeuse,5.5,65000,320.0,2.6,-143.3,0,0,0,False,True,18,False,0.52,False,0,1,0,0,non_habitable
Verdantis Alpha,Sous-geante,3.0,3.8,Glacius-V,Naine glacee,15.0,2500,0.07,0.07,-203.2,0,0,99,False,False,0,False,0.7,False,0,0,0,0,non_habitable
Ashenveil Binary,Geante rouge,1000.0,9.8,Ashenveil-I,Lave,8.0,7000,1.3,1.2,265.2,0,75,20,False,False,0,False,0.1,False,0,0,0,0,non_habitable
Ashenveil Binary,Geante rouge,1000.0,9.8,Ashenveil-II,Gazeuse,25.0,58000,280.0,2.3,-12.9,0,0,0,False,True,25,True,0.52,False,0,1,1,0,non_habitable
Ashenveil Binary,Geante rouge,1000.0,9.8,Ashenveil-III,Naine glacee,80.0,3200,0.15,0.15,-143.8,0,0,98,False,False,2,False,0.7,False,0,0,0,0,non_habitable
